edf_dir,label
chb04/seizure/chb04_28_2_24193.npy.gz,1
chb04/nonseizure/chb04_05_88833.npy.gz,0
chb04/nonseizure/chb04_05_112385.npy.gz,0
chb04/seizure/chb04_08_1_6017.npy.gz,1
chb04/seizure/chb04_05_1_3713.npy.gz,1
chb04/seizure/chb04_28_1_14721.npy.gz,1
chb04/nonseizure/chb04_05_107265.npy.gz,0
chb04/nonseizure/chb04_05_164865.npy.gz,0
chb04/nonseizure/chb04_05_45313.npy.gz,0
chb04/seizure/chb04_05_1_2305.npy.gz,1
chb04/seizure/chb04_28_1_3457.npy.gz,1
chb04/nonseizure/chb04_05_12033.npy.gz,0
chb04/nonseizure/chb04_05_83713.npy.gz,0
chb04/nonseizure/chb04_05_41729.npy.gz,0
chb04/seizure/chb04_28_2_10369.npy.gz,1
chb04/seizure/chb04_28_2_513.npy.gz,1
chb04/seizure/chb04_05_1_9217.npy.gz,1
chb04/seizure/chb04_28_2_8193.npy.gz,1
chb04/seizure/chb04_08_1_20609.npy.gz,1
chb04/seizure/chb04_08_1_19969.npy.gz,1
chb04/seizure/chb04_05_1_7681.npy.gz,1
chb04/nonseizure/chb04_05_73985.npy.gz,0
chb04/seizure/chb04_28_1_12673.npy.gz,1
chb04/nonseizure/chb04_05_16897.npy.gz,0
chb04/seizure/chb04_05_1_2945.npy.gz,1
chb04/seizure/chb04_08_1_23297.npy.gz,1
chb04/seizure/chb04_08_1_26881.npy.gz,1
chb04/seizure/chb04_05_1_4865.npy.gz,1
chb04/seizure/chb04_08_1_11009.npy.gz,1
chb04/seizure/chb04_28_1_16001.npy.gz,1
chb04/seizure/chb04_08_1_3073.npy.gz,1
chb04/nonseizure/chb04_05_122113.npy.gz,0
chb04/seizure/chb04_08_1_1793.npy.gz,1
chb04/seizure/chb04_08_1_9729.npy.gz,1
chb04/nonseizure/chb04_05_11265.npy.gz,0
chb04/nonseizure/chb04_05_55297.npy.gz,0
chb04/nonseizure/chb04_05_45825.npy.gz,0
chb04/seizure/chb04_28_1_4865.npy.gz,1
chb04/seizure/chb04_08_1_7041.npy.gz,1
chb04/seizure/chb04_28_1_19713.npy.gz,1
chb04/nonseizure/chb04_05_3073.npy.gz,0
chb04/nonseizure/chb04_05_9473.npy.gz,0
chb04/seizure/chb04_08_1_13825.npy.gz,1
chb04/seizure/chb04_28_1_385.npy.gz,1
chb04/nonseizure/chb04_05_50945.npy.gz,0
chb04/nonseizure/chb04_05_125441.npy.gz,0
chb04/nonseizure/chb04_05_111617.npy.gz,0
chb04/seizure/chb04_28_2_29569.npy.gz,1
chb04/nonseizure/chb04_05_138753.npy.gz,0
chb04/seizure/chb04_08_1_9217.npy.gz,1
chb04/nonseizure/chb04_05_192769.npy.gz,0
chb04/nonseizure/chb04_05_190977.npy.gz,0
chb04/nonseizure/chb04_05_39681.npy.gz,0
chb04/seizure/chb04_08_1_27137.npy.gz,1
chb04/nonseizure/chb04_05_156417.npy.gz,0
chb04/nonseizure/chb04_05_178689.npy.gz,0
chb04/nonseizure/chb04_05_156673.npy.gz,0
chb04/nonseizure/chb04_05_98817.npy.gz,0
chb04/nonseizure/chb04_05_135425.npy.gz,0
chb04/nonseizure/chb04_05_140801.npy.gz,0
chb04/seizure/chb04_28_1_1921.npy.gz,1
chb04/seizure/chb04_28_1_14465.npy.gz,1
chb04/nonseizure/chb04_05_137473.npy.gz,0
chb04/seizure/chb04_08_1_27265.npy.gz,1
chb04/nonseizure/chb04_05_29697.npy.gz,0
chb04/nonseizure/chb04_05_38657.npy.gz,0
chb04/seizure/chb04_28_2_19585.npy.gz,1
chb04/nonseizure/chb04_05_56321.npy.gz,0
chb04/seizure/chb04_28_1_9473.npy.gz,1
chb04/nonseizure/chb04_05_29185.npy.gz,0
chb04/nonseizure/chb04_05_161793.npy.gz,0
chb04/nonseizure/chb04_05_33537.npy.gz,0
chb04/nonseizure/chb04_05_95745.npy.gz,0
chb04/nonseizure/chb04_05_163073.npy.gz,0
chb04/seizure/chb04_28_1_5633.npy.gz,1
chb04/nonseizure/chb04_05_72961.npy.gz,0
chb04/seizure/chb04_05_1_8065.npy.gz,1
chb04/nonseizure/chb04_05_98561.npy.gz,0
chb04/seizure/chb04_28_1_18433.npy.gz,1
chb04/nonseizure/chb04_05_25089.npy.gz,0
chb04/nonseizure/chb04_05_36353.npy.gz,0
chb04/seizure/chb04_28_1_9601.npy.gz,1
chb04/nonseizure/chb04_05_85505.npy.gz,0
chb04/seizure/chb04_08_1_23041.npy.gz,1
chb04/nonseizure/chb04_05_192001.npy.gz,0
chb04/nonseizure/chb04_05_151809.npy.gz,0
chb04/seizure/chb04_28_2_25601.npy.gz,1
chb04/nonseizure/chb04_05_83969.npy.gz,0
chb04/nonseizure/chb04_05_120065.npy.gz,0
chb04/nonseizure/chb04_05_112641.npy.gz,0
chb04/nonseizure/chb04_05_112129.npy.gz,0
chb04/seizure/chb04_08_1_19457.npy.gz,1
chb04/nonseizure/chb04_05_72705.npy.gz,0
chb04/seizure/chb04_28_1_8065.npy.gz,1
chb04/seizure/chb04_28_2_16641.npy.gz,1
chb04/nonseizure/chb04_05_59649.npy.gz,0
chb04/seizure/chb04_28_1_25345.npy.gz,1
chb04/seizure/chb04_28_2_5377.npy.gz,1
chb04/nonseizure/chb04_05_93953.npy.gz,0
chb04/nonseizure/chb04_05_24833.npy.gz,0
chb04/nonseizure/chb04_05_10497.npy.gz,0
chb04/seizure/chb04_28_1_17153.npy.gz,1
chb04/seizure/chb04_28_1_19969.npy.gz,1
chb04/nonseizure/chb04_05_180225.npy.gz,0
chb04/nonseizure/chb04_05_10753.npy.gz,0
chb04/nonseizure/chb04_05_166145.npy.gz,0
chb04/nonseizure/chb04_05_35841.npy.gz,0
chb04/seizure/chb04_28_2_13057.npy.gz,1
chb04/nonseizure/chb04_05_8705.npy.gz,0
chb04/seizure/chb04_08_1_16001.npy.gz,1
chb04/seizure/chb04_28_2_22913.npy.gz,1
chb04/nonseizure/chb04_05_49921.npy.gz,0
chb04/seizure/chb04_28_1_2305.npy.gz,1
chb04/nonseizure/chb04_05_94977.npy.gz,0
chb04/seizure/chb04_08_1_25985.npy.gz,1
chb04/nonseizure/chb04_05_51969.npy.gz,0
chb04/nonseizure/chb04_05_14593.npy.gz,0
chb04/nonseizure/chb04_05_127489.npy.gz,0
chb04/seizure/chb04_05_1_9345.npy.gz,1
chb04/seizure/chb04_28_1_3841.npy.gz,1
chb04/nonseizure/chb04_05_175105.npy.gz,0
chb04/nonseizure/chb04_05_123393.npy.gz,0
chb04/seizure/chb04_28_2_14593.npy.gz,1
chb04/seizure/chb04_05_1_9729.npy.gz,1
chb04/seizure/chb04_28_2_25985.npy.gz,1
chb04/seizure/chb04_28_2_19457.npy.gz,1
chb04/seizure/chb04_08_1_26113.npy.gz,1
chb04/nonseizure/chb04_05_133377.npy.gz,0
chb04/seizure/chb04_28_1_10497.npy.gz,1
chb04/nonseizure/chb04_05_136705.npy.gz,0
chb04/seizure/chb04_08_1_385.npy.gz,1
chb04/seizure/chb04_28_1_14977.npy.gz,1
chb04/nonseizure/chb04_05_96513.npy.gz,0
chb04/seizure/chb04_08_1_11905.npy.gz,1
chb04/nonseizure/chb04_05_91649.npy.gz,0
chb04/seizure/chb04_28_2_15873.npy.gz,1
chb04/seizure/chb04_28_2_12033.npy.gz,1
chb04/nonseizure/chb04_05_78849.npy.gz,0
chb04/nonseizure/chb04_05_151553.npy.gz,0
chb04/nonseizure/chb04_05_130305.npy.gz,0
chb04/seizure/chb04_05_1_2561.npy.gz,1
chb04/seizure/chb04_08_1_28033.npy.gz,1
chb04/nonseizure/chb04_05_89601.npy.gz,0
chb04/seizure/chb04_28_2_17921.npy.gz,1
chb04/seizure/chb04_08_1_28289.npy.gz,1
chb04/nonseizure/chb04_05_148737.npy.gz,0
chb04/seizure/chb04_28_2_2305.npy.gz,1
chb04/nonseizure/chb04_05_2049.npy.gz,0
